VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1748872557432	0	0	0.318197	1	-0	0	0	img_Drone1__0_1748872557226795500.png
Drone1	1748872557510	0	0	0.556437	1	-0	0	0	img_Drone1__0_1748872557252128500.png
Drone1	1748872557693	0	0	0.681403	1	0	0	0	img_Drone1__0_1748872557313270000.png
Drone1	1748872557870	0	0	0.681403	1	0	0	0	img_Drone1__0_1748872557373294100.png
Drone1	1748872576737	0	0	0.578441	1	0	0	0	img_Drone1__0_1748872563871425900.png
Drone1	1748872576872	0	0	0.51758	1	0	0	0	img_Drone1__0_1748872563916118300.png
Drone1	1748872577001	0	0	0.458579	1	0	0	0	img_Drone1__0_1748872563959489400.png
Drone1	1748872577133	0	0	0.397511	1	0	0	0	img_Drone1__0_1748872564004024200.png
Drone1	1748872577271	0	0	0.333017	1	0	0	0	img_Drone1__0_1748872564049777200.png
Drone1	1748872577406	0	0	0.269373	1	0	0	0	img_Drone1__0_1748872564094694500.png
Drone1	1748872577535	0	0	0.208116	1	0	0	0	img_Drone1__0_1748872564137813800.png
Drone1	1748872577664	0	0	0.146484	1	0	0	0	img_Drone1__0_1748872564180690200.png
Drone1	1748872577793	0	0	0.0845285	1	0	0	0	img_Drone1__0_1748872564223850700.png
Drone1	1748872577919	0	0	0.0237409	1	0	0	0	img_Drone1__0_1748872564265941200.png
Drone1	1748872578069	0	0	-0.0489283	1	0	0	0	img_Drone1__0_1748872564314712400.png
Drone1	1748872578246	0	0	-0.135037	1	0	0	0	img_Drone1__0_1748872564392494800.png
Drone1	1748872578378	0	0	-0.199469	1	0	0	0	img_Drone1__0_1748872564435939700.png
Drone1	1748872578510	0	0	-0.264055	1	0	0	0	img_Drone1__0_1748872564480286100.png
Drone1	1748872578648	0	0	-0.331722	1	0	0	0	img_Drone1__0_1748872564526045500.png
Drone1	1748872578777	0	0	-0.395091	1	0	0	0	img_Drone1__0_1748872564569737300.png
Drone1	1748872578915	0	0	-0.462986	1	0	0	0	img_Drone1__0_1748872564615510800.png
