VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1747157751232	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751462946400.png
Drone1	1747157751301	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751533256400.png
Drone1	1747157751364	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751596982700.png
Drone1	1747157751433	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751665436500.png
Drone1	1747157751499	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751732097100.png
Drone1	1747157751568	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751799366500.png
Drone1	1747157751625	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751856993500.png
Drone1	1747157751682	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751915552100.png
Drone1	1747157751742	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157751974130900.png
Drone1	1747157751802	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752034913700.png
Drone1	1747157751862	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752093882300.png
Drone1	1747157751922	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752153819000.png
Drone1	1747157751982	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752214179200.png
Drone1	1747157752042	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752275169200.png
Drone1	1747157752102	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752336965200.png
Drone1	1747157752165	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752398656400.png
Drone1	1747157752228	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752462383300.png
Drone1	1747157752297	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752530268800.png
Drone1	1747157752360	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752592979800.png
Drone1	1747157752423	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752657808200.png
Drone1	1747157752498	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752721289300.png
Drone1	1747157752552	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752785198400.png
Drone1	1747157752612	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752847437000.png
Drone1	1747157752678	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752912921800.png
Drone1	1747157752738	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157752973097400.png
Drone1	1747157752801	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753034354200.png
Drone1	1747157752861	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753096234400.png
Drone1	1747157752924	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753157959300.png
Drone1	1747157752984	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753218764100.png
Drone1	1747157753050	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753283873600.png
Drone1	1747157753113	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753346466500.png
Drone1	1747157753176	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753411145800.png
Drone1	1747157753239	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753474231700.png
Drone1	1747157753302	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753536001900.png
Drone1	1747157753362	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753596531100.png
Drone1	1747157753422	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753657139400.png
Drone1	1747157753494	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753718141900.png
Drone1	1747157753542	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753776936900.png
Drone1	1747157753602	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753838315200.png
Drone1	1747157753662	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753898313800.png
Drone1	1747157753734	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157753957743000.png
Drone1	1747157753785	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754021204300.png
Drone1	1747157753851	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754085858500.png
Drone1	1747157753917	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754151847800.png
Drone1	1747157753983	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754218005900.png
Drone1	1747157754049	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754284915200.png
Drone1	1747157754118	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754352417300.png
Drone1	1747157754181	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754417741700.png
Drone1	1747157754247	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754481392300.png
Drone1	1747157754307	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754543630500.png
